2788,33
2788,216
10427,278
10427,1382
11011,1302
11011,1885
11011,6194
49803,12
8987,33
8987,496
8987,662
1637,306
15128,8411
8831,33
8831,467
8831,552
8831,1644
8831,2982
8831,4248
36955,306
36955,574
10449,9195
10395,5
12160,335
12160,6194
12160,13040
12160,24217
40480,9195
40480,21857
52038,288
52038,2630
52038,11358
29444,37
29444,1382
26352,175
26352,915
39953,3923
39953,25583
41580,-1
315,170
22067,-1
18242,6215
18242,6216
18242,6217
11667,33
11667,7220
32502,278
32502,11061
32502,31080
32502,33419
267188,-1
28732,285
28732,826
28732,16835
75555,14280
75555,37300
42981,2
42981,90509
278939,888
291731,38179
291731,38289
226229,-1
203119,3268
203119,38276
172923,-1
316098,-1
8011,2662
8011,22240
8011,25129
8011,30655
171857,-1
2654,12
18069,12
19092,12
2758,4
2758,41
2758,258
38129,21222
10436,5
13595,306
13595,1595
13595,3929
46094,915
46094,1382
46094,10201
46094,12883
46094,82606
46094,82607
9409,9195
11853,306
11853,89311
16771,8
16771,97
16771,16737
46924,6194
46924,7049
46924,58750
46924,79560
46924,79561
11041,306
306,4
306,30
14522,6194
26203,12
178,2231
178,8411
19819,4
57834,14150
57834,18070
4722,6194
4722,10098
4722,10099
18215,70969
1607,7429
1607,11308
26391,9195
117553,5
117553,1350
6075,33
6075,1988
6075,11393
11310,5
11310,97
18658,8411
9350,559
9350,5358
9350,14723
9350,23246
9350,45728
9350,45729
9612,4
2124,915
2124,1504
26261,559
19176,23
19176,33
49299,8411
49299,36863
49299,36864
49299,36865
49299,68062
11566,5739
11566,6194
11566,8816
9571,37
9571,6556
9571,10932
9739,1885
9739,6194
24257,-1
34444,8
26141,8411
10997,708
10997,2269
10997,36863
50463,41
50463,365
10443,705
10443,6194
20239,-1
16297,705
16297,6194
18551,4
18551,705
18551,19534
25440,8
9024,13
9024,23
37233,4
37233,932
37233,1302
1634,104
1634,508
1634,644
1634,6194
1634,23397
13815,14
5503,6194
35588,5
2087,33
2087,1644
41579,8411
18620,1422
18620,8888
18620,89521
18620,89522
18620,89523
41006,37
4916,915
2019,33
2019,467
2019,11462
31642,508
31642,6194
9255,306
9255,11751
26271,272
26271,1930
26271,10348
10612,14
10612,983
2259,118
2259,705
2259,850
2259,10598
2259,13096
2259,33027
16097,-1
11934,1382
11934,1885
11934,6194
11934,10163
11934,23873
106143,18
106143,441
12475,915
9386,97
9386,441
7984,33
7984,2307
59930,9195
15765,9195
31643,4
31643,11407
6,33
6,1644
6,4248
329,33
329,56
10909,278
10909,3589
507,285
34024,37
29918,4
9593,441
9593,55528
42580,9195
22317,11308
1413,360
1413,6194
12121,508
12121,6194
2246,5
2246,12
2246,97
2246,1023
10502,4564
10502,6194
10440,559
9516,12
2320,1885
2320,6194
5879,6116
5879,13139
5879,14668
83718,8888
83718,10565
11971,3102
11971,8827
2625,559
2625,1177
31911,6194
31911,8888
31911,16827
788,306
788,10230
21450,10100
21450,10932
11231,441
41588,508
41588,644
41588,4198
41588,6194
41588,10104
10447,441
10447,1280
10447,1755
10447,4972
31586,5
31586,12
31586,97
9300,11912
9300,27593
