11463,Edge City
3076,Allagash Films
4351,Trans Pacific Films
542,Guardian Trust Company
15059,Simcom Limited
16953,Norstar Entertainment
396,SLM Production Group
1176,Lorimar Film Entertainment
7981,Pathé
19397,Revolutionary Eye LLC
32,Buena Vista
3221,Sveriges Television (SVT)
18071,FilmDallas Pictures
18094,Antron Media Production
4990,Ital-Noleggio Cinematografico
8100,Mafilm
20741,Buena Vista Distribution Company
10531,Silver Screen Partners II
9998,Umbrella-Rosenblum Film Production
965,TAFT Entertainment Pictures
2159,Hal Roach Studios
2813,Forensic Films
7447,Personafilm
1684,Chenault Productions
554,Silver Screen Partners III
4357,The Guber-Peters Company
22284,CAT Films
6313,Weintraub Entertainment Group
11506,Maljack Productions
1256,Producers Sales Organization
1704,Bavaria Film
989,Four Square Productions
4959,Pathé Films
4354,Geffen Company
27584,Rainbow Film Company
1554,Transatlantic Pictures
1483,Redeemable Features
41680,Bill Plympton Studios
1591,Rhino Films
147,Fidélité Productions
3929,Robert Simonds Productions
62,The Selznik Studio
14701,Mayflower Pictures Corporation
1221,Gainsborough Pictures
51816,British International Pictures (BIP)
1222,Carlyle Blackwell Productions
7070,Davis Entertainment Classics
3631,Filmax
44,Cruise/Wagner Productions
15868,Medusa Distribuzione
1702,Medusa Produzione
7585,Delphi II Productions
556,Sherwood
11043,A&M Films
903,David Brown Productions
475,JD Productions
21144,Movieco Australia
29489,Sideshow Pictures
333,Original Film
763,Intermedia Films
17411,Polar Entertainment
1431,Playboy Enterprises
925,Nu Image Films
18149,Prometheus Film Productions Ltd
419,Embassy Pictures Corporation
2373,Patriot Pictures
38609,Holly Hill Productions
162,Bayerischer Rundfunk
3298,Harpo Films
248,Impact Pictures
52758,Charter Films Inc.
2188,Artisan Entertainment
3981,Terminal City Pictures
1444,Cannon Group
3644,Zenith Entertainment
10932,The Criterion Collection
1216,Dino de Laurentiis Cinematografica
21716,Sweetland Films
7380,Initial Entertainment Group (IEG)
156,Nordic Film
407,Dreamland Productions
17100,Screen Classics (II)
622,Toho Film (Eiga) Co. Ltd.
3418,Famous Films (II)
2537,Kennedy Miller Productions
3267,Atlantic Entertainment Group
477,Hughes Entertainment
3201,Merlin Films
40336,Chinese Bookie Pictures
532,Morpheus
4189,Scala Films
53493,Topps Chewing Gum
4535,Vista Organization
1988,Epic Productions
1887,Lorimar Motion Pictures
496,David Foster Productions
4110,Cannon Films
33306,Nicolas Entertainment
17479,Ultra Muchos Productions
22490,Cote Blanche Productions
514,Silver Screen Partners
960,L.A. Films
9335,Canal+ España
11493,National Film Finance Corporation (NFFC)
10104,New Regency Pictures
3805,Ken Lipper/June Beallor Production
2329,Krátký Film Praha
788,Bel Air Entertainment
44460,Underdog Productions
9255,Toei Company
4415,Corn Cobb Productions
4416,Park Avenue Productions
10324,William Castle Productions
5418,Alligator Inc
2379,Palladium Productions
2065,Scout Productions
11773,Artémis Productions
19944,Carousel Picture Company
6305,Argyle Enterprises
688,Rankin/Bass Productions
41917,Euro Video
1757,Mad Chance
40451,Adela Pictures
9996,Syncopy
3054,Golden Way Films Ltd.
16718,No Limit Films
15469,Sogetel
23036,C.E.O. Films
11465,Noram Entertainment
7042,IRIS Films
201,Arte
1088,Alcon Entertainment
90093,Winslow Partners Ltd.
16274,Thomas Coleman and Michael Rosenblatt Productions
4527,Concorde Pictures
13674,Working Dog
40759,Filmline International
919,Beacon Communications
1141,Engine Films
1677,Mediaset
2503,Kamera Film Unit
1314,Hammer Film Productions
87008,Universal Pictures Co. Inc.
16593,Hemdale
57825,Colonial Productions
4697,Sunset Productions
429,DC Comics
14269,Hill-Hecht-Lancaster Productions
282,Bookshop Productions
491,Summit Entertainment
158,Spyglass Entertainment
15460,Ignite Entertainment
8068,Mindfire Entertainment
547,Open City Films
6246,Medusa Film
1972,X-Filme Creative Pool
2507,Todman
461,Les Films Christian Fechner
223,Les Films du Losange
194,Hobby Films
746,MTV Films
689,Ventanarosa Productions
4323,Minotaur Productions
611,Bryna Productions
516,Seven Arts Productions
34505,Kindred Limited Partnership
1523,Ciné Valse
3906,American Playhouse
2956,The Geffen Company
34281,Santa Clara Productions
1445,Golan-Globus
898,Lorimar Productions
21590,Pressman Productions
2785,Warner Bros. Animation
597,Irish Dreamtime
2815,Head On Productions
31062,Ritz-Carlton Pictures
4820,Alta Vista Productions
13862,Alta Vista Film Production
1312,The Mount Company
85,Konrad Pictures
4288,Madhouse
4380,Suntaur Entertainment Company
20938,Liberty Pictures
14159,Seven Arts Pictures
6762,Decla-Bioscop AG
6541,D.A. Films
792,Radio Télévision Belge Francophone
2347,FGM Entertainment
5821,BAC Films
3341,Fuji Television Network
2260,Les Films Marceau
6114,Harristown Funding
4283,Camera 2 Productions
5479,Talking Heads
12872,Penthouse Films International
413,Proscenium Films
4724,BLT Productions
1438,Quadra Entertainment
13914,Feature Productions
2822,SNL Studios
35442,Radio Televisión Española (RTVE)
3919,Earthbound Human Productions Inc.
643,Société Nouvelle Pathé Cinéma
13433,Seasonal Film Corporation
2886,Cineguild
553,Barclays Mercantile Industrial Finance
3719,Ljubavny Film
753,Nouvelles Éditions de Films (NEF)
16918,Cinequanon
6095,Subafilms
2321,Green Parrot
14646,Pickford Corporation
38147,Red-horse Native
1261,Scala Productions
13819,Lower East Side Films
4897,Code Productions
843,Werner Herzog Filmproduktion
4582,"an Film Studio"""
769,Destination Films
16252,id films
4597,Goodtimes Enterprises
2403,Monterey Films
1786,Dark Castle Entertainment
1600,Craven-Maddalena Films
85721,Fox Entertainment Group
4214,Jubilee Pictures Corporation
4131,Ignite Entertainment
62136,Civilian Pictures
3141,Cineplex
189,ARP Sélection
3065,American Broadcasting Company (ABC)
12190,Buster Keaton Productions
4065,Wild Street Pictures
1212,Empire Pictures
251,Avenue Pictures Productions
2767,Mace Neufeld Productions
21540,Mary Pickford Company
42001,American Artists
19972,Walter Seltzer Productions
617,Brooksfilms Ltd.
999,Belstar Productions
3070,Cinema Center Films
4299,Newtown Productions
6270,Cinépix
6644,Lions Gate
3034,TV Tokyo
2289,Abandon Pictures
4395,Monogram Pictures
8791,Sherwood Productions
1138,Filmways Pictures
1361,Compton Films
93591,Mirco & Slavco - First Partizan Production
7996,Films A.B.C.
1875,Produzioni De Sica
206,Star Partners II Ltd.
67713,Parkes/Lasker productions
22289,Moonstone Entertainment
1920,Nuova Linea Cinematografica
862,The Kennedy/Marshall Company
1234,"Art Cinématographique"""
5409,Bing Crosby Productions
4213,Sol Lesser Productions
6090,Selmur Productions
1823,Arwin Productions
2608,Happy Madison Productions
13913,Joseph M. Schenck Productions
16056,William Cagney Productions
415,Laurence Mark Productions
5028,CanWest Global Communications Corporationt
506,Newmarket Capital Group
14317,Republic Pictures (I)
3632,Romulus Films
431," Company"""
762,Mutual Film Company
599,Solar Productions
14154,Essex Productions
4541,Raybert Productions
734,Producers Circle
42347,Segal-Tokofsky Productions Inc.
1048,CCC Filmkunst GmbH
7269,Poison L.P.
5721,Phoenix Films
7281,British Film Institute (BFI)
1549,Opera Film Produzione
6639,Televisión Española (TVE)
4079,Angel Productions
3968,John Woolf Productions
36359,Billy Jack Enterprises
27934,Palm Pictures
6647,Tabasco films
77,Milestone Productions
11387,Les Artistes Anonymes
11264,Bad Lt. Productions
1403,Franchise Pictures
10289,DMG Entertainment
15292,Quintet Productions
26347,STS Productions Inc
1309,Rainforest Films
4388,Security Pictures
5017,Mars Production Corporation
16124,Columbia British Productions
10201,Interscope Communications
16466,Producers Releasing Corporation (PRC)
1315,Charles Chaplin Productions
3245,First National Pictures
13671,ABC Motion Pictures
19852,Marcel Hellman Productions
2108,Battleplan Productions
11672,Nimbus Film Productions
14589,Code Entertainment
3688,Kennedy Miller
1009,Crown International Pictures
4166,Howco Productions Inc.
12133,Scimitar Productions
19113,Apollo Associates
1584,ITC Entertainment
22384,Rolling M. Productions
12360,Vestron Pictures
4756,Friedman-Lewis Productions
4758,Box Office Spectaculars
13992,Hemisphere Pictures
612,Artists Entertainment Complex
1322,C.V. Whitney Pictures
16354,Wolper Pictures
8423,Compagnia Cinematografica Mondiale (CCM)
4864,George Pal Productions
893,Stanley Kramer Productions
5879,PRC
632,British Lion Films
523,Camelot Productions
455,Permut Presentations
1155,Incorporated Television Company
15980,Incorporated Television Company (ITC)
660,British Lion Film Corporation
30724,Hecht-Lancaster Productions
841,Pathé Entertainment
13282,21st Century Film Corporation
1174,Delphi V Productions
37740,Varahonar Company
9233,Woolner Brothers Pictures Inc.
41956,Two Arts Ltd.
958,Japan America Picture Company
6407,Blake Edwards
881,Daiei Studios
12355,Vulcan Productions Inc.
676,Monarchy Enterprises B.V.
5078,Danziger Productions Ltd.
22220,Clarke-King Enterprises
7729,Granada Films
7751,Marimark
11952,Bigel / Mailer Films
857,Julian Blaustein Productions
48490,Chadwick Pictures Corporation
1490,Kintop Pictures
4248,JVC Entertainment Networks
2400,Unidis
81142,Bachelor Party Productions
9349,Film4
29305,Kaleidoscope Films
1930,IRS Media
634,ABC Pictures
4721,civilhand
11945,Celebrated Productions
657,Toho-Towa
4030,Jeff Most Productions
76,Zentropa Entertainments
3287,Screen Gems
6086,New Horizon Picture Corp.
20235,New Horizons Picture
5174,Boom Pictures Inc.
1886,DDM Film Corporation
2920,Irish Screen
20711,Doperfilme
11757,Produzioni Intersound
5940,Avala Film
48357,Hi-Rez Films
6470,Walt Disney Production
5316,Fanfare Films
1951,Aspen Film Society
48941,Paradine Co-Productions
1296,Crossbow Productions
1472,Delux Productions
3138,Harcourt Productions
3897,Keli Herd Film Company
885,Téléma Productions
1313,Clarion Films
77451,Samba P.C.
13996,Morgana Films
1701,Dania Film
13723,Bruce Brown Films
918,Films 66
1369,Full Moon Pictures
4255,Kings Road Entertainment
50505,Embark Production
12226,American Film Institute (AFI)
10986,Magidson Films
298,Carlyle Production
64233,Spheeris Films Inc.
480,Tobis
2124,Melvin Simon Productions
3052,Troma Entertainment
3959,Nelvana
3810,Joel Productions
1461,Pressman-Williams
383,Goskino Productions
13158,Punch 21 Productions
4620,Evenstar Films
4630,Amicus Productions
5570,Allied Vision
3894,Kentucky Fried Theatre
13549,Golan-Globus Productions
9261,Mercury Films
15580,Galaxy Pictures Inc.
4946,Lippert Pictures
1607,Gold/Miller Productions
645,Imar Film Co.
650,Bridge Films
517,Allied Artists
719,Film Foundry Partners
49396,"s Palace Ltd."""
46609,The Great American Dream Machine Movie Company
2483,Laurel Entertainment
8830,Touchwood Pacific Partners 1
2804,7 Network
79897,Progress Communications
3083,NRK Drama
13255,New Century Producers
6564,Columbia Tristar
7055,New Oz Productions
8948,Societé Cinématographique Lyre
12335,Rex Carlton Productions
3057,Katzka-Loeb
3146,Starway International Inc.
959,IndieProd Company Productions
2775,American Eagle
2486,Iéna Productions
15314,Aeteas Filmproduktions
10565,Good Machine
15012,Film Cellar
1898,Bórd Scannán na hÉireann
7047,Paramount Pictures Corporation
1115,M6 Films
76460,St. Michael Finance Limited
421,Amen Ra Films
4472,Aviva Entertainment
81025,Black Hawk Entertainment
4736,Ardent Films
40276,Skipped Parts Productions
